Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Category_C
0,4.1,159,19.0,10000.0,0,0.0,1,9,ART_AND_DESIGN
0,3.9,967,14.0,500000.0,0,0.0,1,12,ART_AND_DESIGN
0,4.7,87510,8.7,5000000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.5,215644,25.0,50000000.0,0,0.0,4,9,ART_AND_DESIGN
0,4.3,967,2.8,100000.0,0,0.0,1,11,ART_AND_DESIGN
0,4.4,167,5.6,50000.0,0,0.0,1,9,ART_AND_DESIGN
0,3.8,178,19.0,50000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.1,36815,29.0,1000000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.4,13791,33.0,1000000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.7,121,3.1,10000.0,0,0.0,1,11,ART_AND_DESIGN
0,4.4,13880,28.0,1000000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.4,8788,12.0,1000000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.2,44829,20.0,10000000.0,0,0.0,4,9,ART_AND_DESIGN
0,4.6,4326,21.0,100000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.4,1518,37.0,100000.0,0,0.0,1,9,ART_AND_DESIGN
0,3.2,55,2.7,5000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.7,3632,5.5,500000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.5,27,17.0,10000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.3,194216,39.0,5000000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.6,224399,31.0,10000000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.0,450,14.0,100000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.1,654,12.0,100000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.7,7699,4.2,500000.0,0,0.0,2,9,ART_AND_DESIGN
0,4.193338315362448,61,7.0,100000.0,0,0.0,1,10,ART_AND_DESIGN
0,4.7,118,23.0,50000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.8,192,6.0,10000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.7,20260,25.0,500000.0,0,0.0,1,11,ART_AND_DESIGN
0,4.1,203,6.1,100000.0,0,0.0,1,9,ART_AND_DESIGN
0,3.9,136,4.6,10000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.1,223,4.2,100000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.2,1120,9.2,100000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.1,227,5.2,50000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.5,5035,11.0,100000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.2,1015,11.0,100000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.7,353,4.2,10000.0,0,0.0,4,9,ART_AND_DESIGN
0,3.8,564,9.2,100000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.7,8145,24.0,500000.0,0,0.0,1,11,ART_AND_DESIGN
0,4.1,36639,21.516165435774234,5000000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.7,158,11.0,10000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.0,591,9.4,500000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.2,117,15.0,10000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.5,176,10.0,100000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.4,295221,21.516165435774234,10000000.0,0,0.0,1,9,ART_AND_DESIGN
0,3.8,2206,1.2,100000.0,0,0.0,1,11,ART_AND_DESIGN
0,4.2,26,12.0,10000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.7,174531,24.0,10000000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.6,1070,26.0,100000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.2,85,8.0,100000.0,0,0.0,1,9,ART_AND_DESIGN
0,4.3,845,7.9,100000.0,0,0.0,1,9,ART_AND_DESIGN
1,4.2,367,25.0,100000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.0,1598,56.0,1000000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,3.8,284,57.0,100000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.6,17057,21.516165435774234,1000000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,3.9,129,35.0,100000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.3,542,33.0,100000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.9,10479,33.0,100000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.4,805,5.6,50000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.2,129,54.0,100000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.0,1403,0.1962890625,100000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,3.9,3971,3.6,100000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.6,534,5.7,10000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.9,7774,17.0,100000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.3,38846,8.6,1000000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.6,2431,2.4,100000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.9,6090,27.0,100000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,3.9,295,2.7,10000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.0,190,2.5,50000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.3,40211,21.516165435774234,5000000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,3.9,356,21.516165435774234,100000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.2,52530,7.0,5000000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.8,116986,35.0,5000000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,3.6,1379,16.0,500000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.2,271920,16.0,10000000.0,0,0.0,4,13,AUTO_AND_VEHICLES
1,4.8,736,21.516165435774234,100000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.8,7021,17.0,500000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.6,197,3.4,50000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.5,737,8.9,100000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.3,3574,3.9,1000000.0,0,0.0,2,13,AUTO_AND_VEHICLES
1,4.5,994,2.9,100000.0,0,0.0,1,13,AUTO_AND_VEHICLES
1,4.9,197136,38.0,1000000.0,0,0.0,1,13,AUTO_AND_VEHICLES
